store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost,unit_price
658,Shenzhen,Store,Female,25-29,Weekday,New Arrivals,4,796,4,4,59,199
146,Hangzhou,Store,Female,25-29,Weekday,sports,1,149,1,1,49,149
70,Shenzhen,Store,Male,>=60,Weekday,T-shirt,2,178,2,2,49,89
658,Shenzhen,Store,Female,25-29,Weekday,T-shirt,1,59,1,1,49,59
229,Shenzhen,Store,Male,20-24,Weekend,Sock,2,65,2,3,9,22
28,Wuhan,Online,Female,35-39,Weekend,T-shirt,1,97,1,1,49,97
649,Hangzhou,Store,Female,25-29,Weekend,Shorts,1,33,1,1,19,33
520,Hangzhou,Store,Male,>=60,Weekend,T-shirt,2,158,2,2,49,79
649,Hangzhou,Store,Female,30-34,Weekend,Jean,3,157,3,3,69,52
21,Beijing,Store,Female,45-49,Weekend,Sweater,1,199,1,1,99,199
208,Chongqing,Store,Male,20-24,Weekend,Accessories,1,149,1,1,29,149
437,Chongqing,Store,Female,20-24,Weekday,T-shirt,1,129,1,1,49,129
520,Hangzhou,Store,Female,35-39,Weekend,New Arrivals,12,2050,12,12,59,171
611,Shenzhen,Store,Male,30-34,Weekend,T-shirt,1,79,1,1,49,79
648,Xian,Store,Male,20-24,Weekend,T-shirt,1,59,1,1,49,59
737,Shenzhen,Store,Male,30-34,Weekend,Shorts,1,33,1,1,19,33
32,Wuhan,Online,Male,35-39,Weekend,Shorts,2,79,2,2,19,40
649,Hangzhou,Store,Male,30-34,Weekday,Sock,1,19,1,1,9,19
208,Chongqing,Store,Female,30-34,Weekend,T-shirt,1,99,1,1,49,99
658,Shenzhen,Store,Female,35-39,Weekday,Jean,3,196,3,4,69,49
420,Guangzhou,Online,Male,>=60,Weekday,T-shirt,1,39,1,1,49,39
759,Chongqing,Store,Male,25-29,Weekend,T-shirt,1,59,1,1,49,59
802,Xian,Store,Female,35-39,Weekday,Shorts,1,39,1,1,19,39
19,Nanjing,Store,Female,35-39,Weekend,T-shirt,4,176,4,4,49,44
231,Guangzhou,Store,Female,35-39,Weekend,T-shirt,3,114,3,3,49,38
375,Guangzhou,Online,Female,45-49,Weekday,New Arrivals,1,79,1,1,59,79
479,Shenzhen,Store,Female,30-34,Weekday,Accessories,1,59,1,1,29,59
146,Hangzhou,Store,Female,25-29,Weekday,T-shirt,1,79,1,1,49,79
759,Chongqing,Store,Female,25-29,Weekday,Sock,1,79,1,1,9,79
758,Hangzhou,Store,Female,20-24,Weekday,Shorts,1,33,1,1,19,33
68,Chongqing,Online,Female,50-54,Weekend,Shorts,2,106,2,3,19,35
52,Wuhan,Online,Male,25-29,Weekend,T-shirt,1,99,1,1,49,99
229,Shenzhen,Store,Female,35-39,Weekday,T-shirt,1,79,1,1,49,79
135,Shanghai,Store,Female,30-34,Weekend,New Arrivals,1,49,1,1,59,49
336,Xian,Store,Male,>=60,Weekday,T-shirt,1,79,1,1,49,79
142,Shanghai,Store,Male,25-29,Weekday,Sweater,1,190.67,1,1,99,191
229,Shenzhen,Store,Female,25-29,Weekend,New Arrivals,1,199,1,1,59,199
399,Guangzhou,Store,Male,30-34,Weekday,New Arrivals,1,55,1,1,59,55
519,Hangzhou,Store,Female,35-39,Weekday,Sock,1,20,1,1,9,20
91,Wuhan,Online,Male,30-34,Weekday,Shorts,1,33,1,1,19,33
19,Nanjing,Store,Female,45-49,Weekday,Sweater,2,198,2,2,99,99
323,Wuhan,Store,Female,35-39,Weekday,T-shirt,1,59,1,1,49,59
649,Hangzhou,Store,Male,25-29,Weekend,New Arrivals,1,54,1,1,59,54
738,Shenzhen,Store,Female,40-44,Weekday,New Arrivals,2,288,2,2,59,144
315,Wuhan,Store,Female,25-29,Weekend,T-shirt,1,79,1,1,49,79
70,Shenzhen,Store,Female,>=60,Weekend,Accessories,3,434,3,6,29,72
142,Shanghai,Store,Female,20-24,Weekday,New Arrivals,1,76,1,1,59,76
248,Hangzhou,Store,Female,45-49,Weekday,New Arrivals,1,54,1,1,59,54
146,Hangzhou,Store,Male,35-39,Weekday,New Arrivals,1,75,1,1,59,75
207,Shanghai,Online,Female,20-24,Weekend,T-shirt,1,99,1,1,49,99
32,Wuhan,Online,Female,50-54,Weekend,T-shirt,1,99,1,1,49,99
46,Wuhan,Store,Male,>=60,Weekend,Shorts,1,33,1,1,19,33
611,Shenzhen,Store,Female,25-29,Weekday,Shorts,1,33,1,1,19,33
325,Shanghai,Store,Female,50-54,Weekend,New Arrivals,1,79,1,1,59,79
430,Chengdu,Store,Male,35-39,Weekend,Dresses,1,79,1,1,59,79
